year,industry1,retrench,retrench_permanent,retrench_term_contract
1998,manufacturing,20700,18930,1770
1998,construction,2450,1210,1240
1998,services,9630,8940,690
1998,others,30,-,30
1999,manufacturing,8370,7990,380
1999,construction,830,520,320
1999,services,6320,6110,210
1999,others,10,-,-
2000,manufacturing,7500,7410,90
2000,construction,380,250,130
2000,services,4080,3970,110
2000,others,-,-,-
2001,manufacturing,15680,14440,1240
2001,construction,900,700,210
2001,services,10780,10500,290
2001,others,200,200,-
2002,manufacturing,9660,9140,520
2002,construction,1000,850,150
2002,services,9290,9010,270
2002,others,180,80,100
2003,manufacturing,7480,7230,250
2003,construction,740,630,120
2003,services,8770,8280,490
2003,others,270,270,10
2004,manufacturing,4700,4480,220
2004,construction,410,370,30
2004,services,5220,5020,200
2004,others,310,310,-
2005,manufacturing,7080,6810,270
2005,construction,540,210,330
2005,services,3500,3260,240
2005,others,20,10,-
2006,manufacturing,8860,8720,140
2006,construction,490,390,100
2006,services,3670,3420,250
2006,others,70,70,-
2007,manufacturing,5500,5250,250
2007,construction,80,20,50
2007,services,2990,2390,600
2007,others,20,10,10
2008,manufacturing,10420,8390,2030
2008,construction,540,250,300
2008,services,5870,5250,630
2008,others,50,30,10
2009,manufacturing,13640,11920,1720
2009,construction,980,450,540
2009,services,8720,7710,1010
2009,others,90,80,-
2010,manufacturing,4490,3780,710
2010,construction,1350,550,800
2010,services,3960,3410,550
2010,others,-,-,-
2011,manufacturing,4460,3920,540
2011,construction,1050,470,580
2011,services,4430,3920,520
2011,others,50,50,-
2012,manufacturing,4050,3710,340
2012,construction,650,450,200
2012,services,6300,5500,800
2012,others,10,10,-
2013,manufacturing,5000,4830,160
2013,construction,1120,710,410
2013,services,5430,4980,450
2013,others,10,10,-
2014,manufacturing,3970,3350,620
2014,construction,1690,990,700
2014,services,7260,6560,700
2014,others,10,10,-
2015,manufacturing,5210,4790,430
2015,construction,1780,770,1010
2015,services,8510,7800,710
2015,others,80,80,-
2016,manufacturing,6280,5620,660
2016,construction,1920,870,1050
2016,services,10880,10230,650
2016,others,100,100,-
2017,manufacturing,3790,3330,460
2017,construction,2020,1190,830
2017,services,8900,8350,550
2017,others,20,10,-
2018,manufacturing,2570,2280,290
2018,construction,1200,800,400
2018,services,6960,6520,440
2018,others,-,-,-
2019,manufacturing,2790,2580,220
2019,construction,860,500,370
2019,services,7000,6700,300
2019,others,30,30,-
2020,manufacturing,5320,5000,330
2020,construction,990,750,240
2020,services,19760,16760,3010
2020,others,40,30,10
2021,manufacturing,1710,1640,70
2021,construction,240,210,40
2021,services,6020,5580,440
2021,others,50,50,-
2022,manufacturing,2100,1500,600
2022,construction,260,110,150
2022,services,4060,3930,130
2022,others,30,30,-
